Portal,Portalsoftware,DS,Roh_pro_DS,Titel_Länge,Beschreibung_DS,Beschreibung_DS_Anteil,Beschreibung_Länge,Kontakte_einz,Kontakte_valide_Anteil,DS_Kontakte_valide_Anteil,URL_einz,DS_URL,DS_URL_Anteil,DS_geo,DS_geo_Anteil,DS_Erstelldatum,DS_Erstelldatum_Anteil,Erstelldatum_Zeitspanne,DS_Updatedatum,DS_Updatedatum_Anteil,Updatedatum_Zeitspanne,Updatedatum_ung_Erstelldatum,Updatedatum_ung_Erstelldatum_Anteil,Tags,Tags_einz,DS_mit_Tags,DS_mit_Tags_Anteil,Tags_pro_DS_Durchschnitt,Gruppen,Gruppen_einzig,DS_mit_Gruppen,DS_mit_Gruppen_Anteil,Gruppen_pro_DS_Durchschnitt,Lizenzen_einz,Lizenzen_offen_Anteil,DS_mit_Lizenz,DS_mit_Lizenz_Anteil,DS_mit_Lizenz_offen,DS_mit_Lizenz_offen_Anteil,Roh,Link_intern_Anteil,online,online_Anteil,offline,offline_Anteil,Name_Anteil,Name_einz,Name_einz_Länge,DS_Name_einz_Anteil,valid_0,valid_0_Anteil,valid_1,valid_1_Anteil,valid_2,valid_2_Anteil,valid_3,valid_3_Anteil,valid_4,valid_4_Anteil,valid_5,valid_5_Anteil,Beschreibung_Roh,Beschreibung_Roh_Anteil,Beschreibung_Roh_Länge,Fehler_Durchschnitt,Fehler_pro_Roh_Durchschnitt,Dateityp_einz,Dateityp_gegeben_Anteil,DateitypReal_einz,DateitypReal_gegeben_Anteil,DateitypReal_einz_DS_Durchschnitt,Roh_ML,Roh_ML_Anteil,Roh_offen,Roh_offen_Anteil,Roh_Erstelldatum,Roh_Erstelldatum_Anteil,Roh_Erstelldatum_Zeitspanne,Roh_Updatedatum,Roh_Updatedatum_Anteil,Roh_Updatedatum_Zeitspanne,Roh_Updatedatum_ung_Erstelldatum,Roh_Updatedatum_ung_Erstelldatum_Anteil,Roh_validierbar,Roh_validierbar_Anteil,Fehler_validierbar_Durchschnitt,Rohdaten_Fehler_Zelle,Rohdaten_Fehler_Zelle_Anteil,Rohdaten_Fehler_Reihe,Rohdaten_Fehler_Reihe_Anteil,Rohdaten_Fehler_Label,Rohdaten_Fehler_Label_Anteil,Fehler_Zelle,Fehler_Zelle_Anteil,Fehler_Reihe,Fehler_Reihe_Anteil,Fehler_Label,Fehler_Label_Anteil,Dateigröße_Durchschnitt,Dateigröße_min,Dateigröße_max,Dateigröße_Summe,gen_titel,gen_beschreibung,gen_tags,gen_geodaten,gen_metaValidität,gen_score,gen_gewScore,vollst_gewVollst,vollst_rohZelle,vollst_rohReihe,vollst_rohLabel,vollst_score,vollst_gewScore,akt_updates,akt_erstellt,akt_neueDaten,akt_alterDaten,akt_score,akt_gewScore,abr_linkOnline,abr_linkIntern,abr_score,abr_gewScore,off_dfML,off_dfOffen,off_lizenzOffen,off_score,off_gewScore,kon_autorValide,kon_verwalterValide,kon_score,kon_gewScore,rue_quelle,rue_score,rue_gewScore,val_rdLesbar,val_rdValide,val_score,val_gewScore,div_durchEndp,div_stdevEndp,div_durchDF,div_stdevDF,div_durchTags,div_stdevTags,div_anteilOrg,div_stdevOrg,div_score,div_gewScore,portalEbene_neueDaten,portalEbene_durchEndp,portalEbene_stdevEndp,portalEbene_durchDF,portalEbene_stdevDF,portalEbene_durchTags,portalEbene_stdevTags,portalEbene_anteilOrg,portalEbene_stdevOrg,portalEbene_linkOnline,portalEbene_score,metaEbene_metaValidität,metaEbene_geodaten,metaEbene_titel,metaEbene_beschreibung,metaEbene_tags,metaEbene_gewVollst,metaEbene_updates,metaEbene_erstellt,metaEbene_alterDaten,metaEbene_linkIntern,metaEbene_linkOnline,metaEbene_lizenzOffen,metaEbene_autorValide,metaEbene_verwalterValide,metaEbene_quelle,metaEbene_score,rohEbene_rohZelle,rohEbene_rohReihe,rohEbene_rohLabel,rohEbene_dfML,rohEbene_dfOffen,rohEbene_rdLesbar,rohEbene_rdValide,rohEbene_score
9,0,146591,1.6507766506811468,59.07123220388701,92770,0.6328492199384682,266.72764902446914,0,0,0,125,88834,0.6059990040316254,88834,0.6059990040316254,146576,0.9998976744820623,0,146576,0.9998976744820623,0,37272,0.25425844697150574,600364,41531,139096,0.9488713495371476,4.095503816741819,227630,14,146464,0.9991336439481278,1.5528238432100196,2,1.0,146514,0.99947472900792,146514,0.99947472900792,241989,0.027092140551843266,222382,0.9189756559182443,19607,0.08102434408175578,1.0,61481,247.01348314606741,0.25406526742951124,2744,0.011339358400588457,3607,0.014905636206604433,235351,0.9725690010702965,140,0.0005785386939075743,0,0.0,147,0.0006074656286029531,0,0.0,0,0,0,1,1.2397257726590878e-05,24,0.9190211125299084,1.3407093458008754,16693,0.06898247440999385,205236,0.8481211955915352,241989,1.6507766506811468,0,0,0.0,0,0,0.0,6475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.8985476598154047,0.9488713495371476,0,0.3211998008063251,7.168618810158877,7.168618810158877,5.731759453172432,0.9963807455664133,0.060441549040897574,0.05247918928700688,6.841060937066749,6.841060937066749,2.999693023446187,2.999693023446187,2,0.30240601401177425,8.301792060904148,5.811254442632904,8.270780903264198,0.027092140551843266,8.297873043816042,8.297873043816042,0.2759298976399754,1.6962423911830704,3.99789891603168,5.970071204854726,4.776056963883781,2.5,2.5,5.0,1.5,0.001023255179376633,0.001023255179376633,0.00030697655381298986,4.942000602591142,2.7877372702621273,7.729737872853269,7.729737872853269,0,1,0,1,2,0,0,1,5,25,2,0,1,0,1,2,0,0,1,8.270780903264198,15.270780903264198,0.3211998008063251,0,4,1.8985476598154047,0.9488713495371476,5.731759453172432,2.999693023446187,2.999693023446187,0.30240601401177425,0.027092140551843266,8.270780903264198,3.99789891603168,2.5,2.5,0.001023255179376633,36.49896553926256,0.9963807455664133,0.060441549040897574,0.05247918928700688,0.2759298976399754,1.6962423911830704,4.942000602591142,2.7877372702621273,10.811211645570634
22,0,43,4.209302325581396,22.093023255813954,43,1.0,162.62790697674419,0,0,0,0,0,0.0,0,0.0,43,1.0,0,43,1.0,0,41,0.9534883720930233,156,70,42,0.9767441860465116,3.627906976744186,43,2,43,1.0,1.0,6,0.8333333333333334,43,1.0,41,0.9534883720930233,181,0.9502762430939227,110,0.6077348066298343,71,0.39226519337016574,0.994475138121547,166,33.30555555555556,0.9171270718232044,24,0.13259668508287292,17,0.09392265193370165,140,0.7734806629834254,0,0.0,0,0.0,0,0.0,129,0.712707182320442,157.08527131782947,73.75,73.75,0,0.0,5,0.6077348066298343,1.28125,41,0.2265193370165746,104,0.574585635359116,181,4.209302325581396,0,0,0.0,0,0,0.0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.9767441860465116,0,0.3,8.276744186046512,8.276744186046512,6.609302325581396,1,1,0.875,9.484302325581396,9.484302325581396,3,3,2,0.09302325581395349,8.093023255813954,5.665116279069768,5.469613259668508,0.9502762430939227,6.41988950276243,6.41988950276243,0.9060773480662984,1.149171270718232,3.813953488372093,5.869202107156624,4.695361685725299,5,2.5,7.5,2.25,10,10,3.0,5,2.073170731707317,7.073170731707317,7.073170731707317,2,1,0,1,2,1,1,1,9,45,2,2,1,0,1,2,1,1,1,5.469613259668508,16.469613259668506,0.3,0,4,3,0.9767441860465116,6.609302325581396,3,3,0.09302325581395349,0.9502762430939227,5.469613259668508,3.813953488372093,5,2.5,10,48.71291275857639,1,1,0.875,0.9060773480662984,1.149171270718232,5,2.073170731707317,12.003419350491846
24,0,4824,4.58271144278607,38.79601990049751,4762,0.9871475953565506,65.43721125577488,0,0,0,0,0,0.0,0,0.0,4824,1.0,0,4824,1.0,0,3187,0.6606550580431177,27081,2513,4405,0.9131426202321725,5.6138059701492535,9646,2,4823,0.9997927031509121,1.9995854063018241,6,0.6666666666666666,4824,1.0,4819,0.9989635157545605,22107,0.0,18670,0.8445288822544895,3437,0.15547111774551048,1.0,6,19.5,0.0002714072465734835,0,0.0,0,0.0,22107,1.0,0,0.0,0,0.0,0,0.0,22107,1.0,70.91260686660334,0,0,0,0.0,2,0.8445288822544895,2,0,0.0,13689,0.6192156330574027,22107,4.58271144278607,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.961442786069652,0.9131426202321725,0,0.35708955223880595,8.23167495854063,8.23167495854063,6.413401741293532,0,0,0,6.413401741293532,6.413401741293532,3,3,2,0.148424543946932,8.148424543946932,5.703897180762852,7.600759940290406,0,7.600759940290406,7.600759940290406,0,1.2384312661148054,3.995854063018242,5.234285329133048,4.187428263306439,5,3.9272388059701493,8.927238805970148,2.6781716417910446,10,10,3.0,0,0,0,0,2,1,2,1,2,0,1,0,9,45,2,2,1,2,1,2,0,1,0,7.600759940290406,18.600759940290406,0.35708955223880595,0,4,2.961442786069652,0.9131426202321725,6.413401741293532,3,3,0.148424543946932,0,7.600759940290406,3.995854063018242,5,3.9272388059701493,10,51.31735405305989,0,0,0,0,1.2384312661148054,0,0,1.2384312661148054
57,0,295,8.891525423728813,29.24406779661017,295,1.0,675.3525423728813,0,0,0,295,295,1.0,295,1.0,295,1.0,0,295,1.0,0,234,0.7932203389830509,388,13,294,0.9966101694915255,1.3152542372881355,291,13,291,0.9864406779661017,0.9864406779661017,3,1.0,293,0.9932203389830508,293,0.9932203389830508,2623,0.8250095310712924,2544,0.9698818147159741,79,0.030118185284025923,1.0,1825,45.91139240506329,0.6957682043461685,160,0.06099885627144491,1912,0.7289363324437667,535,0.20396492565764393,0,0.0,0,0.0,16,0.006099885627144491,1153,0.4395730080060999,92.95403295750216,0,0,0,0.0,13,0.9710255432710637,1.5467625899280575,2120,0.808234845596645,2516,0.9592070148684713,2623,8.891525423728813,0,2623,8.891525423728813,0,1076,3.647457627118644,2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.9966101694915255,0,0.5,8.496610169491525,8.496610169491525,6.291694915254237,0.901840490797546,0.7055214723926381,0.7423312883435583,8.64138816678798,8.64138816678798,3,3,2,0.1288135593220339,8.128813559322033,5.690169491525423,8.728936332443766,0.8250095310712924,9.553945863515057,9.553945863515057,3.23293938238658,1.9184140297369425,3.9728813559322034,9.124234768055727,7.299387814444582,2.5,5,7.5,2.25,0,0,0.0,5,4.588122605363985,9.588122605363985,9.588122605363985,2,0,0,1,0,0,0,0,3,15,2,2,0,0,1,0,0,0,0,8.728936332443766,13.728936332443766,0.5,0,4,3,0.9966101694915255,6.291694915254237,3,3,0.1288135593220339,0.8250095310712924,8.728936332443766,3.9728813559322034,2.5,5,0,41.943945863515054,0.901840490797546,0.7055214723926381,0.7423312883435583,3.23293938238658,1.9184140297369425,5,4.588122605363985,17.089169269021248
58,0,83,4.168674698795181,33.06024096385542,83,1.0,297.04819277108436,0,0,0,22,47,0.5662650602409639,47,0.5662650602409639,83,1.0,0,83,1.0,0,67,0.8072289156626506,233,134,77,0.927710843373494,2.8072289156626504,122,13,81,0.9759036144578314,1.4698795180722892,2,1.0,83,1.0,83,1.0,346,0.684971098265896,333,0.9624277456647399,13,0.03757225433526012,0.9566473988439307,312,35.06382978723404,0.9017341040462428,56,0.16184971098265896,95,0.2745664739884393,181,0.523121387283237,14,0.04046242774566474,0,0.0,0,0.0,203,0.5867052023121387,61.93103448275862,56.589285714285715,56.589285714285715,0,0.0,11,0.9624277456647399,2,189,0.546242774566474,250,0.7225433526011561,346,4.168674698795181,0,226,2.7228915662650603,0,8,0.0963855421686747,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.927710843373494,0,0.46987951807228917,8.397590361445783,8.397590361445783,6.557228915662651,1,0.5714285714285714,0.3392857142857143,8.467943201376936,8.467943201376936,3,3,2,0.9156626506024096,8.91566265060241,6.240963855421687,8.66184971098266,0.684971098265896,9.346820809248555,9.346820809248555,2.184971098265896,1.4450867052023122,4,7.630057803468208,6.104046242774567,4.668674698795181,4.909638554216867,9.578313253012048,2.873493975903614,10,10,3.0,5,2.878787878787879,7.878787878787879,7.878787878787879,2,1,2,1,2,1,1,1,11,55,2,2,1,2,1,2,1,1,1,8.66184971098266,21.661849710982658,0.46987951807228917,0,4,3,0.927710843373494,6.557228915662651,3,3,0.9156626506024096,0.684971098265896,8.66184971098266,4,4.668674698795181,4.909638554216867,10,54.79561598997145,1,0.5714285714285714,0.3392857142857143,2.184971098265896,1.4450867052023122,5,2.878787878787879,13.419559967970372
59,0,386,11.303108808290155,42.29274611398964,386,1.0,256.1839378238342,0,0,0,386,386,1.0,386,1.0,386,1.0,0,386,1.0,0,288,0.7461139896373057,367,5,367,0.9507772020725389,0.9507772020725389,379,23,379,0.9818652849740933,0.9818652849740933,3,0.6666666666666666,379,0.9818652849740933,378,0.9792746113989638,4363,0.8150355260142104,4339,0.9944991977996791,24,0.0055008022003208805,1.0,4097,52.36231884057971,0.9390327756131103,1185,0.27160210864084344,2823,0.6470318588127435,320,0.07334402933761174,1,0.00022920009168003668,0,0.0,34,0.007792803117121247,4362,0.99977079990832,213.59995414947272,0,0,0,0.0,8,0.9995415998166399,1.1036269430051813,4321,0.9903735961494384,4337,0.994040797616319,4363,11.303108808290155,0,4363,11.303108808290155,0,1104,2.860103626943005,4049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.9507772020725389,0,0.5002590673575129,8.451036269430052,8.451036269430052,6.241968911917098,0.8094841930116472,0.8111480865224625,0.5790349417637272,8.441636133214935,8.441636133214935,3,3,2,0.48704663212435234,8.487046632124352,5.940932642487046,8.950492780197113,0.8150355260142104,9.765528306211323,9.765528306211323,3.9614943845977537,1.988081595232638,3.917098445595855,9.866674425426247,7.893339540340998,2.506476683937824,5,7.506476683937824,2.251943005181347,0,0,0.0,4.99876329458323,3.493692802374474,8.492456096957705,8.492456096957705,2,1,0,1,0,0,0,0,4,20,2,2,1,0,1,0,0,0,0,8.950492780197113,14.950492780197113,0.5002590673575129,0,4,3,0.9507772020725389,6.241968911917098,3,3,0.48704663212435234,0.8150355260142104,8.950492780197113,3.917098445595855,2.506476683937824,5,0,42.36915524921651,0.8094841930116472,0.8111480865224625,0.5790349417637272,3.9614943845977537,1.988081595232638,4.99876329458323,3.493692802374474,16.641699298085936
61,0,139,3.431654676258993,57.2589928057554,139,1.0,141.97841726618705,0,0,0,42,138,0.9928057553956835,138,0.9928057553956835,139,1.0,0,139,1.0,0,123,0.8848920863309353,141,8,139,1.0,1.014388489208633,0,0,0,0.0,0.0,1,1.0,139,1.0,139,1.0,477,1.0,477,1.0,0,0.0,1.0,415,62.31884057971015,0.870020964360587,174,0.36477987421383645,22,0.04612159329140461,199,0.4171907756813417,82,0.1719077568134172,0,0.0,0,0.0,477,1.0,105.79454926624737,66.5,66.5,0,0.0,6,1.0,2.8345323741007196,280,0.5870020964360587,337,0.7064989517819706,477,3.431654676258993,0,459,3.302158273381295,0,69,0.49640287769784175,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0.5064748201438849,8.506474820143884,8.506474820143884,6.282374100719425,0.9827586206896551,0.05172413793103448,0.028735632183908046,7.345592491524022,7.345592491524022,3,3,2,0,8,5.6,9,1,10,10,2.348008385744235,1.4129979035639413,4,7.761006289308176,6.208805031446541,3.0035971223021583,4.73021582733813,7.7338129496402885,2.3201438848920866,10,10,3.0,5,0.39568345323741005,5.39568345323741,5.39568345323741,2,1,2,1,0,0,0,1,7,35,2,2,1,2,1,0,0,0,1,9,18,0.5064748201438849,0,4,3,1,6.282374100719425,3,3,0,1,9,4,3.0035971223021583,4.73021582733813,10,52.5226618705036,0.9827586206896551,0.05172413793103448,0.028735632183908046,2.348008385744235,1.4129979035639413,5,0.39568345323741005,10.219908133350184
62,0,4345,5.390563866513234,51.87963176064442,4323,0.9949367088607595,567.3634050427944,0,0,0,2463,3102,0.7139240506329114,3102,0.7139240506329114,4345,1.0,0,4345,1.0,0,2811,0.6469505178365937,18487,4561,4205,0.9677790563866513,4.254775604142693,5319,14,3688,0.8487917146144994,1.2241657077100114,30,0.9333333333333333,4015,0.9240506329113924,4002,0.9210586881472957,23422,0.001238152164631543,17197,0.734224233626505,6225,0.265775766373495,0.15464093587225686,2772,93.96825396825396,0.11835026897788405,2729,0.11651438818205107,7458,0.3184185808214499,12349,0.527239347621894,108,0.004611049440696781,2,8.538980445734779e-05,776,0.03313124412945094,19926,0.8507386218085561,127.76001204456489,0,0,0,0.0,50,0.7381094697293143,1.452697798209533,12041,0.5140893177354624,15738,0.6719323712748698,23422,5.390563866513234,0,1321,0.3040276179516686,0,165,0.0379746835443038,10341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.9848101265822784,0.9677790563866513,0,0.4389873417721519,8.391576524741081,8.391576524741081,6.4598158803222105,0.8909747292418773,0.6487364620938628,0.4162454873646209,8.415772559022573,8.415772559022573,3,3,2,0.6098964326812428,8.609896432681243,6.02692750287687,6.608018102638545,0.001238152164631543,6.609256254803177,6.609256254803177,2.0563572709418496,1.3438647425497396,3.684234752589183,7.0844567660807725,5.667565412864619,3.805523590333717,3.7238204833141544,7.529344073647872,2.2588032220943615,9.995397008055235,9.995397008055235,2.9986191024165705,4.997742255937867,3.3775851169511424,8.375327372889009,8.375327372889009,2,1,0,1,2,0,0,0,6,30,2,2,1,0,1,2,0,0,0,6.608018102638545,14.608018102638546,0.4389873417721519,0,4,2.9848101265822784,0.9677790563866513,6.4598158803222105,3,3,0.6098964326812428,0.001238152164631543,6.608018102638545,3.684234752589183,3.805523590333717,3.7238204833141544,9.995397008055235,49.27952092684001,0.8909747292418773,0.6487364620938628,0.4162454873646209,2.0563572709418496,1.3438647425497396,4.997742255937867,3.3775851169511424,13.73150606508096
63,0,64,4.734375,23.890625,64,1.0,510.359375,0,0,0,64,64,1.0,64,1.0,64,1.0,0,64,1.0,0,0,0.0,86,11,64,1.0,1.34375,64,9,64,1.0,1.0,3,1.0,64,1.0,64,1.0,303,0.4884488448844885,303,1.0,0,0.0,1.0,288,38.763636363636365,0.9504950495049505,30,0.09900990099009901,70,0.23102310231023102,203,0.66996699669967,0,0.0,0,0.0,0,0.0,95,0.31353135313531355,80.32631578947368,19.5,19.5,0,0.0,10,1.0,1.875,101,0.3333333333333333,286,0.9438943894389439,303,4.734375,0,303,4.734375,0,160,2.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0.5015625,8.5015625,8.5015625,6.3,0.9666666666666667,0.5,0.5333333333333333,8.3,8.3,3,3,2,2,10,7.0,9,0.4884488448844885,9.488448844884488,9.488448844884488,1.3333333333333333,1.8877887788778878,4,7.221122112211221,5.776897689768977,2.5390625,5,7.5390625,2.26171875,0,0,0.0,5,3.5,8.5,8.5,2,1,0,1,0,1,0,0,5,25,2,2,1,0,1,0,1,0,0,9,16,0.5015625,0,4,3,1,6.3,3,3,2,0.4884488448844885,9,4,2.5390625,5,0,43.82907384488449,0.9666666666666667,0.5,0.5333333333333333,1.3333333333333333,1.8877887788778878,5,3.5,13.721122112211221
66,0,315,2.4,32.98095238095238,315,1.0,265.03809523809525,0,0,0,315,315,1.0,315,1.0,315,1.0,0,315,1.0,0,302,0.9587301587301588,572,14,313,0.9936507936507937,1.8158730158730159,313,12,313,0.9936507936507937,0.9936507936507937,4,1.0,275,0.873015873015873,275,0.873015873015873,756,0.5,679,0.8981481481481481,77,0.10185185185185185,1.0,638,36.345454545454544,0.843915343915344,143,0.18915343915343916,100,0.13227513227513227,483,0.6388888888888888,6,0.007936507936507936,0,0.0,24,0.031746031746031744,201,0.26587301587301587,127.26865671641791,0,0,0,0.0,16,0.9695767195767195,1.1912350597609562,279,0.36904761904761907,583,0.7711640211640212,756,2.4,0,756,2.4,0,298,0.946031746031746,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.9936507936507937,0,0.5993650793650793,8.593015873015872,8.593015873015872,6.291111111111111,0.8958333333333334,0.6736111111111112,0.2569444444444444,8.1175,8.1175,3,3,2,0.22857142857142856,8.228571428571428,5.759999999999999,8.083333333333334,0.5,8.583333333333334,8.583333333333334,1.4761904761904763,1.5423280423280423,3.492063492063492,6.510582010582011,5.208465608465609,4.984126984126984,5,9.984126984126984,2.9952380952380953,0,0,0.0,4.981684981684982,1.9963369963369964,6.978021978021978,6.978021978021978,2,1,0,1,0,0,0,0,4,20,2,2,1,0,1,0,0,0,0,8.083333333333334,14.083333333333334,0.5993650793650793,0,4,3,0.9936507936507937,6.291111111111111,3,3,0.22857142857142856,0.5,8.083333333333334,3.492063492063492,4.984126984126984,5,0,43.17222222222222,0.8958333333333334,0.6736111111111112,0.2569444444444444,1.4761904761904763,1.5423280423280423,4.981684981684982,1.9963369963369964,11.822929385429386
